outcome,control_group,event_time,treated_targets,mean_controls,raw_att,raw_ci_lo,raw_ci_hi,log1p_att,log1p_ci_lo,log1p_ci_hi,approx_percent_change,approx_percent_ci_lo,approx_percent_ci_hi,observed_mean,counterfactual_mean
gwas_studies,not_yet_approved,-3,34,263.205882,0.358719654,-2.270224398,3.708176913,-0.023254782,-0.342371527,0.296580540,-2.298647,-28.991566,34.525090,3.117647059,2.758927405
gwas_studies,not_yet_approved,-2,34,263.205882,0.738144661,-1.746427232,4.165744298,-0.077385544,-0.417258713,0.247503340,-7.446705,-34.114956,28.082364,3.941176471,3.203031809
gwas_studies,not_yet_approved,0,34,263.205882,1.481645453,-3.002782859,4.815132298,0.203378120,-0.133168443,0.548385678,22.553578,-12.468236,73.045725,9.441176471,7.959531018
gwas_studies,not_yet_approved,1,34,256.676471,1.224985102,-2.132066879,5.309137644,0.074030265,-0.177304371,0.332283179,7.683940,-16.247517,39.414759,8.470588235,7.245603134
gwas_studies,not_yet_approved,2,34,248.852941,2.163741350,-1.416518997,6.715223037,0.030047374,-0.315505007,0.385176243,3.050335,-27.057958,46.987335,9.058823529,6.895082179
gwas_studies,not_yet_approved,3,34,244.735294,4.664837121,0.353395326,9.807686304,0.228083719,-0.117553872,0.592314855,25.619049,-11.090739,80.816922,13.323529412,8.658692291
gwas_studies,never_approved,-3,34,241.058824,0.253941913,-2.455461131,3.651082295,-0.032323606,-0.358152738,0.292931322,-3.180678,-30.103369,34.035073,3.117647059,2.863705146
gwas_studies,never_approved,-2,34,241.058824,0.636544179,-1.907416095,4.072499582,-0.085593912,-0.431722992,0.240580315,-8.203307,-35.061076,27.198709,3.941176471,3.304632292
gwas_studies,never_approved,0,34,241.058824,1.387843357,-3.336088013,4.748201097,0.204905136,-0.134951097,0.542372850,22.740862,-12.624136,72.008352,9.441176471,8.053333113
gwas_studies,never_approved,1,34,241.058824,1.186623701,-2.113888581,5.289626667,0.081888891,-0.171405042,0.327329258,8.533521,-15.751974,38.725817,8.470588235,7.283964534
gwas_studies,never_approved,2,34,241.058824,2.259612047,-1.341309045,6.826488495,0.042882220,-0.309944528,0.395785057,4.381495,-26.651236,48.554997,9.058823529,6.799211483
gwas_studies,never_approved,3,34,241.058824,4.685646559,0.455352994,9.546395965,0.234048106,-0.114537538,0.598931961,26.370528,-10.822154,82.017375,13.323529412,8.637882852
clingen_classifications,not_yet_approved,-3,34,263.205882,0.100093106,-0.006103419,0.320718710,0.050341678,0.000699115,0.151669868,5.163035,0.069936,16.377597,0.088235294,-0.011857812
clingen_classifications,not_yet_approved,-2,34,263.205882,0.012272150,-0.001453669,0.026315632,0.008516694,0.000738078,0.016596892,0.855306,0.073835,1.673539,0.000000000,-0.012272150
clingen_classifications,not_yet_approved,0,34,263.205882,-0.003523603,-0.018011850,0.012095156,-0.002945559,-0.011936958,0.006362896,-0.294123,-1.186599,0.638318,0.000000000,0.003523603
clingen_classifications,not_yet_approved,1,34,256.676471,0.054870888,-0.012240911,0.145192829,0.037334965,-0.008661263,0.100224117,3.804067,-0.862386,10.541863,0.058823529,0.003952641
clingen_classifications,not_yet_approved,2,34,248.852941,0.106292283,0.009111881,0.227602381,0.073452938,0.006169398,0.157622894,7.621789,0.618847,17.072462,0.117647059,0.011354776
clingen_classifications,not_yet_approved,3,34,244.735294,0.037499417,-0.030666475,0.133256455,0.025780063,-0.021367962,0.091966168,2.611524,-2.114128,9.632773,0.058823529,0.021324112
clingen_classifications,never_approved,-3,34,241.058824,0.096529158,-0.004805023,0.304781442,0.048863949,0.001283794,0.145071941,5.007748,0.128462,15.612274,0.088235294,-0.008293864
clingen_classifications,never_approved,-2,34,241.058824,0.011592726,-0.000933695,0.024079352,0.008583318,0.001367388,0.016364842,0.862026,0.136832,1.649948,0.000000000,-0.011592726
clingen_classifications,never_approved,0,34,241.058824,-0.008690338,-0.023187193,0.005339042,-0.005612943,-0.015284705,0.003703933,-0.559722,-1.516849,0.371080,0.000000000,0.008690338
clingen_classifications,never_approved,1,34,241.058824,0.050179501,-0.015730073,0.141203128,0.035004492,-0.010623055,0.098291155,3.562436,-1.056683,10.328396,0.058823529,0.008644028
clingen_classifications,never_approved,2,34,241.058824,0.105441456,0.007412205,0.224931910,0.072881160,0.005166472,0.155656219,7.560270,0.517984,16.842445,0.117647059,0.012205603
clingen_classifications,never_approved,3,34,241.058824,0.037023681,-0.031728076,0.133397091,0.025465573,-0.021932855,0.092060826,2.579259,-2.169408,9.643151,0.058823529,0.021799848
