target_id,human_symbol,old_feature_value,new_feature_value,resolved_status,change,mouse_symbols,homozygous_tested_procedures,impc_release,release_date
2393,ABL1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Abl1,0,DR24,2026-03-16
706,ABR,0.0,,not_phenotyped,synthetic_zero_to_unknown,Abr,0,DR24,2026-03-16
4704,ABRAXAS2,0.0,0.0,adequately_phenotyped_no_significant,unchanged,Abraxas2,13,DR24,2026-03-16
4090,ACACA,,,not_phenotyped,remains_unknown,Acaca,0,DR24,2026-03-16
334,ACLY,,,not_phenotyped,remains_unknown,Acly,0,DR24,2026-03-16
3647,ACP3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Acp3,0,DR24,2026-03-16
2143,ADCYAP1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Adcyap1,0,DR24,2026-03-16
1948,ADM,,,not_phenotyped,remains_unknown,Adm,0,DR24,2026-03-16
4184,ADRA1A,0.0,,not_phenotyped,synthetic_zero_to_unknown,Adra1a,0,DR24,2026-03-16
84,ADRB1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Adrb1,0,DR24,2026-03-16
1235,AGER,,,not_phenotyped,remains_unknown,Ager,0,DR24,2026-03-16
620,AGTR1,0.0,,mapping_ambiguous,synthetic_zero_to_unknown,Agtr1a|Agtr1b,14,DR24,2026-03-16
1345,AHR,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ahr,0,DR24,2026-03-16
5790,AKR1C3,0.0,,insufficient_phenotyping,synthetic_zero_to_unknown,Akr1c18,4,DR24,2026-03-16
17799,AKR1C4,0.0,,mapping_ambiguous,synthetic_zero_to_unknown,Akr1c20|Akr1c6,8,DR24,2026-03-16
1193,ALB,0.0,,not_phenotyped,synthetic_zero_to_unknown,Alb,0,DR24,2026-03-16
27882,ALG1L2,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
4849,ALK,0.0,,not_phenotyped,synthetic_zero_to_unknown,Alk,0,DR24,2026-03-16
1197,ALOX12,0.0,,not_phenotyped,synthetic_zero_to_unknown,Alox12,0,DR24,2026-03-16
712,ALOX5AP,0.0,,not_phenotyped,synthetic_zero_to_unknown,Alox5ap,0,DR24,2026-03-16
4703,AMBP,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ambp,0,DR24,2026-03-16
20878,AMHR2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Amhr2,0,DR24,2026-03-16
27757,ANKRD10-IT1,0.0,,mapping_unresolved,synthetic_zero_to_unknown,,0,DR24,2026-03-16
5873,ANXA4,0.0,,not_phenotyped,synthetic_zero_to_unknown,Anxa4,0,DR24,2026-03-16
2014,AOC3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Aoc3,0,DR24,2026-03-16
27,APOB,0.0,,not_phenotyped,synthetic_zero_to_unknown,Apob,0,DR24,2026-03-16
1663,APOC2,0.0,,not_phenotyped,synthetic_zero_to_unknown,Apoc2,0,DR24,2026-03-16
106,APOC3,0.0,,not_phenotyped,synthetic_zero_to_unknown,Apoc3,0,DR24,2026-03-16
2351,APOL1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Apol9a,0,DR24,2026-03-16
21316,AQP8,0.0,,not_phenotyped,synthetic_zero_to_unknown,Aqp8,0,DR24,2026-03-16
613,AR,0.0,,not_phenotyped,synthetic_zero_to_unknown,Ar,0,DR24,2026-03-16
5728,ARAF,0.0,,not_phenotyped,synthetic_zero_to_unknown,Araf,0,DR24,2026-03-16
2505,ARG1,0.0,,not_phenotyped,synthetic_zero_to_unknown,Arg1,0,DR24,2026-03-16
