target_id,human_symbol,status,mapping_ambiguous,mouse_symbols,mgi_accession_ids,phenotyping_data_available,distinct_significant_mp_terms_sum,successful_statistical_results,distinct_tested_parameters_max,distinct_tested_procedures_max,homozygous_tested_procedures,eligible_observed_zero,impc_release,release_date
2393,ABL1,mapped_no_phenotyping,False,Abl1,MGI:87859,False,0,0,0,0,0,False,DR24,2026-03-16
706,ABR,mapped_no_phenotyping,False,Abr,MGI:107771,False,0,0,0,0,0,False,DR24,2026-03-16
4704,ABRAXAS2,phenotyped_no_significant_phenotype,False,Abraxas2,MGI:1926116,True,0,162,162,13,13,True,DR24,2026-03-16
4090,ACACA,mapped_no_phenotyping,False,Acaca,MGI:108451,False,0,0,0,0,0,False,DR24,2026-03-16
334,ACLY,mapped_no_phenotyping,False,Acly,MGI:103251,False,0,0,0,0,0,False,DR24,2026-03-16
3647,ACP3,mapped_no_phenotyping,False,Acp3,MGI:1928480,False,0,0,0,0,0,False,DR24,2026-03-16
2143,ADCYAP1,mapped_no_phenotyping,False,Adcyap1,MGI:105094,False,0,0,0,0,0,False,DR24,2026-03-16
1948,ADM,mapped_no_phenotyping,False,Adm,MGI:108058,False,0,0,0,0,0,False,DR24,2026-03-16
4184,ADRA1A,mapped_no_phenotyping,False,Adra1a,MGI:104773,False,0,0,0,0,0,False,DR24,2026-03-16
84,ADRB1,mapped_no_phenotyping,False,Adrb1,MGI:87937,False,0,0,0,0,0,False,DR24,2026-03-16
1235,AGER,mapped_no_phenotyping,False,Ager,MGI:893592,False,0,0,0,0,0,False,DR24,2026-03-16
620,AGTR1,current_significant_phenotype,True,Agtr1a|Agtr1b,MGI:87964|MGI:87965,True,14,176,166,14,14,False,DR24,2026-03-16
1345,AHR,mapped_no_phenotyping,False,Ahr,MGI:105043,False,0,0,0,0,0,False,DR24,2026-03-16
5790,AKR1C3,phenotyped_no_significant_phenotype,False,Akr1c18,MGI:2145420,True,0,52,52,4,4,False,DR24,2026-03-16
17799,AKR1C4,phenotyped_no_significant_phenotype,True,Akr1c20|Akr1c6,MGI:1933427|MGI:2151104,True,0,106,106,8,8,False,DR24,2026-03-16
1193,ALB,mapped_no_phenotyping,False,Alb,MGI:87991,False,0,0,0,0,0,False,DR24,2026-03-16
27882,ALG1L2,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
4849,ALK,mapped_no_phenotyping,False,Alk,MGI:103305,False,0,0,0,0,0,False,DR24,2026-03-16
1197,ALOX12,mapped_no_phenotyping,False,Alox12,MGI:87998,False,0,0,0,0,0,False,DR24,2026-03-16
712,ALOX5AP,mapped_no_phenotyping,False,Alox5ap,MGI:107505,False,0,0,0,0,0,False,DR24,2026-03-16
4703,AMBP,mapped_no_phenotyping,False,Ambp,MGI:88002,False,0,0,0,0,0,False,DR24,2026-03-16
20878,AMHR2,mapped_no_phenotyping,False,Amhr2,MGI:105062,False,0,0,0,0,0,False,DR24,2026-03-16
27757,ANKRD10-IT1,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
5873,ANXA4,mapped_no_phenotyping,False,Anxa4,MGI:88030,False,0,0,0,0,0,False,DR24,2026-03-16
2014,AOC3,mapped_no_phenotyping,False,Aoc3,MGI:1306797,False,0,0,0,0,0,False,DR24,2026-03-16
27,APOB,mapped_no_phenotyping,False,Apob,MGI:88052,False,0,0,0,0,0,False,DR24,2026-03-16
1663,APOC2,mapped_no_phenotyping,False,Apoc2,MGI:88054,False,0,0,0,0,0,False,DR24,2026-03-16
106,APOC3,mapped_no_phenotyping,False,Apoc3,MGI:88055,False,0,0,0,0,0,False,DR24,2026-03-16
2351,APOL1,mapped_no_phenotyping,False,Apol9a,MGI:3606001,False,0,0,0,0,0,False,DR24,2026-03-16
21316,AQP8,mapped_no_phenotyping,False,Aqp8,MGI:1195271,False,0,0,0,0,0,False,DR24,2026-03-16
613,AR,mapped_no_phenotyping,False,Ar,MGI:88064,False,0,0,0,0,0,False,DR24,2026-03-16
5728,ARAF,mapped_no_phenotyping,False,Araf,MGI:88065,False,0,0,0,0,0,False,DR24,2026-03-16
2505,ARG1,mapped_no_phenotyping,False,Arg1,MGI:88070,False,0,0,0,0,0,False,DR24,2026-03-16
17094,ARRDC3,mapped_no_phenotyping,False,Arrdc3,MGI:2145242,False,0,0,0,0,0,False,DR24,2026-03-16
18795,ARSA,mapped_no_phenotyping,False,Arsa,MGI:88077,False,0,0,0,0,0,False,DR24,2026-03-16
159,ATP4A,mapped_no_phenotyping,False,Atp4a,MGI:88113,False,0,0,0,0,0,False,DR24,2026-03-16
7120,AURKB,mapped_no_phenotyping,False,Aurkb,MGI:107168,False,0,0,0,0,0,False,DR24,2026-03-16
6767,AVPR2,mapped_no_phenotyping,False,Avpr2,MGI:88123,False,0,0,0,0,0,False,DR24,2026-03-16
2030,AXL,mapped_no_phenotyping,False,Axl,MGI:1347244,False,0,0,0,0,0,False,DR24,2026-03-16
5491,B3GAT2,mapped_no_phenotyping,False,B3gat2,MGI:2389490,False,0,0,0,0,0,False,DR24,2026-03-16
27940,B3GNT8,mapped_no_phenotyping,False,B3gnt8,MGI:2385269,False,0,0,0,0,0,False,DR24,2026-03-16
5253,B4GALNT1,mapped_no_phenotyping,False,B4galnt1,MGI:1342057,False,0,0,0,0,0,False,DR24,2026-03-16
2514,BACE1,mapped_no_phenotyping,False,Bace1,MGI:1346542,False,0,0,0,0,0,False,DR24,2026-03-16
16824,BCKDK,mapped_no_phenotyping,False,Bckdk,MGI:1276121,False,0,0,0,0,0,False,DR24,2026-03-16
1099,BCL11A,mapped_no_phenotyping,False,Bcl11a,MGI:106190,False,0,0,0,0,0,False,DR24,2026-03-16
2247,BCL2,mapped_no_phenotyping,False,Bcl2,MGI:88138,False,0,0,0,0,0,False,DR24,2026-03-16
2867,BCR,mapped_no_phenotyping,False,Bcr,MGI:88141,False,0,0,0,0,0,False,DR24,2026-03-16
1142,BDNF,mapped_no_phenotyping,False,Bdnf,MGI:88145,False,0,0,0,0,0,False,DR24,2026-03-16
